"signature","libraryName","placeName","allAuthorNames","allNotes","place"
"ms.Civ.4","Biblioteca Statale","Cremona","Iohannes Boccaccius","Membranaceo; ff. I (cart.), 76, I’ (cart.); fasc. 1-710, 86
; richiami orizzontali al centro del margine
inferiore; 308 × 219; testo a piena pagina; rigatura a piombo. 
 a f. 76r si legge invece la nota esplicitaria: «Explicit liber de montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus et ultimo de nominibus maris Iohanni Bocatii de
Certaldo poete clarissimi florentini honorabilis civis»","http://www.wikidata.org/entity/Q6231"
"2553","Universitäts- und Landesbibliothek ","Darmstadt","Rorgus Fretellus de Nazareth","Il manoscritto membranaceo è formato da 88 ff. e misura 250x180 mm. Il codice riporta il testo di Fretello nella seconda redazione e trasmette inoltre: Ugo di San Vittore, Chronica, ff. 1v-30v; Isidoro di Siviglia, De ecclesiasticis officiis, ff. 45r-77r; testo dal titolo ""De ecclesia et officiis sacerdotalibus"", ff. 77v-88v. Il codice, vergato da tre mani, proviene dall’abbazia premostratense di Steinfeld, come risulta da due note marginali a corredo delle tavole annalistiche (ai ff. 25r e 37r) del primo testo. ","http://www.wikidata.org/entity/Q2973"
"416","Universitäts- und Landesbibliothek ","Darmstadt","Hrabanus Maurus","Il manoscritto cartaceo è formato da 291 ff. e misura 320x215 mm. Il codice è privo delle lettere di dedica a Ludovico il Germanico e  a Emmone. Il testo è preceduto da alcuni versi di Isidoro di Siviglia, f. 1r e termina nel libro XXII, 16. Al f. 291v nota: ""Explicit liber Rabani de origine omnium rerum scriptus et finitus per me Johannem Frantz de Leyphein anno domini 1467 feria sexta post Bede presbiteri quarto kalendas infra octavam et nonam horas de mane ante merdiem (sic)"". Si tratta dello stesso scriba che aveva copiato il De rerum naturis nel codice attualmente conservato a Stoccarda, Theol. et phil., 2 45 (37). ","http://www.wikidata.org/entity/Q2973"
"561 (322)","Bibliothèque Municipale","Dijon","Hugo de Sancto Victore"," Ente possessore: Abbazia Cîteaux (Côte-d'Or), Notre-Dame, 
membr.,
ff. 176,
dimensioni: 360 x 247,
disposizione del testo: 2 colonne","http://www.wikidata.org/entity/Q7003"
"836","Bibliothèque Marceline-Desbordes-Valmore","Douai","Sanctus Brendanus","Il manoscritto membranaceo è formato da I, 230, I' ff. e misura 440x300 mm, con il testo disposto su due colonne. Il codice trasmette: Passionale, ff. 1r-222v. Il manoscritto è annotato lungo i testi e nelle guardie da Raphael de Beauchamps, monaco di Marchiennes: egli spiega al f. A che il suo abate, Guglielmo Chrestien, ha affidato a lui o al monastero il codice, definito ""hinc inde ex perveteribus scriptoribus et piis excerptum manuque scriptum"". ","http://www.wikidata.org/entity/Q193826"
"864","Bibliothèque Marceline-Desbordes-Valmore","Douai","Sanctus Brendanus","Il manoscritto membranaceo è formato da 217 ff. e misura 275x195 mm. Il codice trasmette: Passionale, ma mutilo, ff. 1r-217v. Nel margine superiore del f. 208v si legge: ""Petrus Passeus, Thudiniensis, monachus Aquiscincti"". ","http://www.wikidata.org/entity/Q193826"
"882","Bibliothèque Marceline-Desbordes-Valmore","Douai","Rorgus Fretellus de Nazareth","Il manoscritto membranaceo è formato da I, 198 ff. e misura 280x210 mm. Proveniente dall'abbazia di Sainte-Rictrude-de-Marchiennes, il codice trasmette testi di genere diverso: De contemptu mundi, ff. 1r-3v; Bartolfo di Nangis, Gesta Francorum Hierusalem expugnantium, ff. 3v-34r; versi ritmici De bellorum sacrorum ducibus, f. 35r; estratto di Beda, f. 48r; Lamentatio de secunda via Hierosolimitana, ff. 48v-49r; Genealogia Francorum regum, ff. 50r-50v; Descriptio sanctuarii quod in palatio imperatoris Constantinopoli habetur, f. 51r; manuale epistolare, f. 51v; epistola di Girolamo a papa Damaso e risposta di Damaso, ff. 52r-53r; Girolamo, De viris illustribus, ff. 53r-69v; Fulcherio di Chartres, Gesta Francorum Hierusalem peregrinantium, ff. 70r-108v; Epistola di Aimerico, patriarca di Antiochia, a Ludovico, re di Francia, ff. 109r-109v; excerpta da Curzio Rufo, ff. 110r-112v; Gilone di Parigi, Historia de via Hierosolimitana, ff. 113r-125r; Teobaldo, Physiologus, ff. 125v-126v; Quomodo ignis habeatur de sole, f. 127r; versi De equipollentia virginitatis Sancte Marie, f. 127v; Embricone di Magonza, Vita Mahumeti, ff. 128r-134v; Lamentatio de morte Karoli comitis Flandrie, ff. 135r-135v; Ps. Darete Frigio, Historia de excidio Troiae, ff. 137v-140r; De septem miraculis mundi, f. 140r; De gestis Francorum, ff. 140r-140v; versi De excidio Troiae, ff. 141r-142v; Goffredo di Monmouth, Historia regum Britanniae, ff. 143r-197v. Il manoscritto è vergato su due colonne in inchiostro nero e bruno da diverse mani. Il codice trasmette la prima redazione del testo di Fretello. ","http://www.wikidata.org/entity/Q193826"
"Dc 182 (deperditus)"," Staats- und Universitätsbibliothek ","Dresden","Dicuil Hibernicus","Il manoscritto membranaceo, formato da 135 ff., era custodito presso Santa Maria a Reims tra gli anni 1000-1015, ma andò distrutto durante la seconda guerra mondiale. Il codice consisteva di due unità separate e trasmetteva testi di argomento geografico. ","http://www.wikidata.org/entity/Q1731"
"F 66"," Staats- und Universitätsbibliothek ","Dresden","Blondus Flavius","Cartaceo, mm. 337x230, ff. I, 295 (cartaceo il I f., bianchi i ff. 62v, 121v-136 e 267-295), luogo di copia: Roma. Numerazione moderna, a lapis, in cifre arabe nel mg. sup. sinistro. Testo a piena pagina, in inchiostro nero; scrittura umanistica corsiva e note marginali della mano di Girolamo Biondo, figlio di Flavio, chierico e dottore in utroque iure, nominato scrittore delle lettere apostoliche da papa Callisto III, copista e primo possessore del codice. Tra i ff. 8 e 9 è inserito un foglietto con l'indicazione bibliografica di Masius, ""Flavio Biondo sein Leben und seine Werke"", tra i ff. 261 e 262 altro foglietto con appunti sull'epistola di Biondo a Galeazzo Sforza tramandata ai ff. 91r-96v. Il codice allestito da Girolamo conserva la produzione storica e letteraria paterna più significativa (Roma instaurata e Italia illustrata), probabilmente ai fini di un’editio degli Opera omnia, che tuttavia non approdò mai alla stampa in questa forma. Tra la trascrizione della Roma instaurata (cc. 1r-61v), seguita dalla lettera di complimenti per la composizione dell’opera inviata da Francesco Barbaro a Biondo il 2 gennaio 1447 (c. 61v), e l’Italia illustrata (cc. 137r-266v) si trova una raccolta di 25 epistule nonnulle (cc. 63r-121r), selezionate da Girolamo nell’ambito della corrispondenza paterna, come egli stesso scrive all’inizio della sezione: «Epistule nonnulle Blondi Flavii Forliviensis collecte per me Hieronymum Blondum eius filium». Compongono questa silloge 19 lettere di Biondo, due epistole di Lorenzo Valla (cc. 118v-119r) e Iacopo Bracelli (cc. 120r-120v) inviate a Biondo, due epistole-trattato oggi considerate nella loro fisionomia di opuscoli autonomi (il De verbis Romanae locutionis, con la relativa responsio di Leonardo Bruni alle cc. 63r-74v, e il Borsus alle cc. 97v-104v) e l’Oratio antiturca per Alfonso d’Aragona e Federico III d’Asburgo (cc. 81v-85v). Tra la trascrizione dell’ultima epistola, indirizzata a Ludovico Gonzaga (cc. 120v-121r), e l’inizio dell’Italia illustrata (c. 137r) è presente un vuoto di 15 carte bianche (121v-136v), segno che il progetto di editio di Girolamo dovesse probabilmente contenere anche altri testi epistolari da selezionare tra i materiali paterni. Il manoscritto, che prima di confluire nella Biblioteca Regia di Dresda faceva parte dei codici appartenuti al conte Heinrich von Brühl (1700-1763), primo ministro di Sassonia, mecenate e possessore di una enorme biblioteca di circa settantamila volumi, appartenne alla biblioteca personale del conte Christian Heinrich von Watzdorf (1698-1747): il codice si trova infatti al n° 7284 dell'inventario di Watzdorf. *** Cartaceo, mm 337x230, ff. I, 295 (cartaceo il I f., bianchi i ff. 62v, 121v-136 e 267-295). Numerazione moderna, a lapis, in cifre arabe nel mg. sup. sinistro. Testo a piena pagina, in inchiostro nero; scrittura umanistica corsiva e note marginali della mano di Girolamo Biondo, figlio di Flavio, chierico e dottore in utroque iure, nominato scrittore delle lettere apostoliche da papa Callisto III, copista e primo possessore del codice. Tra i ff. 8 e 9 è inserito un foglietto con l'indicazione bibliografica di Masius, ""Flavio Biondo sein Leben und seine Werke"", tra i ff. 261 e 262 altro foglietto con appunti sull'epistola di Biondo a Galeazzo Sforza tramandata ai ff. 91r-96v. Il testo dell'Italia illustrata si interrompe alla regio decima (Forumiulium) e riproduce un peculiare stadio di elaborazione testuale: il codice si colloca infatti in posizione intermedia tra il III e IV stadio redazionale, perché non tramanda il testo delle ""Additiones correctionesque"", ma contiene già alcune delle giunte ascrivibili all'ultima fase redazionale d'autore; il manoscritto mostra inoltre significative concordanze in lezione anche con i codici della II fase redazionale. Il codice allestito da Girolamo conserva la produzione storica e letteraria paterna più significativa (Roma instaurata e Italia illustrata), probabilmente ai fini di un’editio degli Opera omnia, che tuttavia non approdò mai alla stampa in questa forma. Tra la trascrizione della Roma instaurata (cc. 1r-61v), seguita dalla lettera di complimenti per la composizione dell’opera inviata da Francesco Barbaro a Biondo il 2 gennaio 1447 (c. 61v), e l’Italia illustrata (cc. 137r-266v) si trova una raccolta di 25 epistule nonnulle (cc. 63r-121r), selezionate da Girolamo nell’ambito della corrispondenza paterna, come egli stesso scrive all’inizio della sezione: «Epistule nonnulle Blondi Flavii Forliviensis collecte per me Hieronymum Blondum eius filium». Compongono questa silloge 19 lettere di Biondo, due epistole di Lorenzo Valla (cc. 118v-119r) e Iacopo Bracelli (cc. 120r-120v) inviate a Biondo, due epistole-trattato oggi considerate nella loro fisionomia di opuscoli autonomi (il De verbis Romanae locutionis, con la relativa responsio di Leonardo Bruni alle cc. 63r-74v, e il Borsus alle cc. 97v-104v) e l’Oratio antiturca per Alfonso d’Aragona e Federico III d’Asburgo (cc. 81v-85v). Tra la trascrizione dell’ultima epistola, indirizzata a Ludovico Gonzaga (cc. 120v-121r), e l’inizio dell’Italia illustrata (c. 137r) è presente un vuoto di 15 carte bianche (121v-136v), segno che il progetto di editio di Girolamo dovesse probabilmente contenere anche altri testi epistolari da selezionare tra i materiali
paterni. Il manoscritto, che prima di confluire nella Biblioteca Regia di Dresda faceva parte dei codici appartenuti al conte Heinrich von Brühl (1700-1763), primo ministro di Sassonia, mecenate e possessore di una enorme biblioteca di circa settantamila
volumi, appartenne alla biblioteca personale del conte Christian Heinrich von Watzdorf (1698-1747): il codice si trova infatti al n° 7284 dell'inventario di Watzdorf.","http://www.wikidata.org/entity/Q1731"
"F. 96A"," Staats- und Universitätsbibliothek ","Dresden","Rorgus Fretellus de Nazareth","Il manoscritto cartaceo è formato da 187 ff. Il codice trasmette la seconda redazione del Liber e inoltre: Guido delle Colonne, Historia Troiana, ff. 1r-110v; Martin Polono, Chronicon, ff. 113r-179v. Il testo di Fretello è interpolato con materiali provenienti dalla prima redazione e con il finale variato e allungato. ","http://www.wikidata.org/entity/Q1731"
"Z.3.1.5","Marsh's Library","Dublin","Sanctus Brendanus","Il manoscritto membranaceo è formato da 123 ff. e misura 350x235 mm, con il testo disposto su due colonne. Il codice è una raccolta di Vite di Santi copiata da diverse mani e pensata per una sede francescana. Probabilmente di origine irlandese. Il f. 159v reca una tabula dei contenuti del primo Seicento, quando fu apposta anche la foliazione, che permette di ricostruire il contenuto prima della mutilazione iniziale. All'interno della Vita Brendani, la caduta di alcuni fogli ha determinato una lunga lacuna interna (I, 29-XI, 49). ","http://www.wikidata.org/entity/Q1761"
"175 (E.3.11)","Trinity College","Dublin","Sanctus Brendanus","Il manoscritto membranaceo è composto da 93 ff. e misura 332x242 mm. 14r-15v. Composito, il codice è formato da tre unità codicologiche: la prima trasmette un frammento del Chronicon di Martin Polono, ff. 1r-2r e gli Annali dell'abbazia dublinese di Saint Mary, ff. 2v-13v; la seconda, ff. 14-71, è una raccolta di Vite di Santi; la terza trasmette Richard FitzRalph, De pauperie Salvatoris, ff. 72v-84r. Probabilmente esemplato in Irlanda, il codice trasmette solo un estratto della Navigatio, corrispondente a XII, 20-XX, 1, compilato da mani diverse. ","http://www.wikidata.org/entity/Q1761"
"496","Trinity College","Dublin","Beda Venerabilis","Il manoscritto è membranaceo, composto da ff. 230 +12 bianchi e misura 137x100 mm. Presenta delle annotazioni di mano posteriore, databili al XIV secolo. Il codice trasmette diversi testi: Provinciale, ff. 1r-7v; De creatione mundi , ff. 7v-8v; Galfridus Monemutensis, Historia Regum Britanniae, ff. 9r-124r; Testi su notizie inglesi, ff. 124r-126v; Notizie cronachistiche, f. 126v; Diagramma sull'organizzazione ecclesiastica inglese, ff. 127v-128r; Cronaca inglese, ff. 128v-134r; Versi sulla vita e il regno di Edoardo I, ff. 134v-137r; Diagramma genealogico di Edoardo I, f. 137v; Commentarius in prophetias Merlini, ff. 139r-161r; Cronaca di storia inglese, ff. 165r-180v; Breve cronaca inglese dal 449 al 994, ff. 165r-177v; De quodam miraculo sancti Edwardi confessoris, ff. 177v-179r; Cronaca di storia inglese dal 1271 al 1307, ff. 181r-188r; Breve cronaca dal 42 al 450, ff. 192r-198v; Oliviero Scolastico, Historia Damiatina, ff. 198v-212v; Epistola P. de Monte Acuto, ff. 212v-213v; Prophetia, ff. 213v-215r; Lista di nomi di normanni al seguito di Guglielmo il Conquistatore, ff. 224r-225r; Nennio, Historia Brittonum, ff. 226r-227v; Testi su Merlino, ff. 227v-229r; Episodio di storia scozzese, f. 230v. ","http://www.wikidata.org/entity/Q1761"
"580 (E.3.8)","Trinity College","Dublin","Sanctus Brendanus","Il manoscritto cartaceo è formato da 169 ff. e misura 340x220 mm. Il codice trasmette estratti di cronache, documenti ed epistole datati fino al 1614, Vite di Santi e raccolte di miracoli. Il manoscritto riporta estratti vari sulla storia della chiesa insulare, esito delle ricerche di James Ussher, arcivescovo di Armagh, e dei suoi contatti con studiosi cattolici. ","http://www.wikidata.org/entity/Q1761"
"64","Trinity College","Dublin","Hrabanus Maurus","Il manoscritto membranaceo è formato da 202 ff. e misura 381x274 mm; il testo è disposto su due colonne. Il codice reca nel f. 1r una nota di possesso del monastero di St. Peter di Gloucester ""Liber monasterii Sancti Petri Glouc."", e nel margine inferiore del f. 2r un'altra nota, in parte erasa: ""Liber monasterii sancti Petri Glouc. ex adquisicione fratris...Hortone comonachi eiusdem"". Il codice venne donato al Trinity College dal fondatore sir Thomas Pope (m. 1559). Il manoscritto trasmette inoltre estratti dell'Imago mundi di Onorio di Autun e delle Etymologiae di Isidoro di Siviglia. ","http://www.wikidata.org/entity/Q1761"
"Franciscan Manuscripts (deposito permanente, olim Killiney, Dún Mhuire) F 1 (olim A 24)","University College Library","Dublin","Sanctus Brendanus","Il manoscritto cartaceo è formato da X, 304 ff. e misura 312x205 mm. Esemplato a Rock of Cashel, il manoscritto è apografo di Oxford, Bodleian Library, Rawlinson B. 505. ","http://www.wikidata.org/entity/Q1761"
"87","Biblioteka Samostana Male Brace ","Dubrovnik","Philippus de Diversis de Quartigianis","Manoscritto cartaceo, miscellaneo di 123ff +79 pagine. Il codice, oltre a contenere la Descriptio Ragusina (ff.1r-87v), raccoglie pure: Nicolò da Lazina, poesia in lode dell'opera successiva (ff. Ir-Iv; 88r-88v); Filippo Diversi, orazione per Sigismondo imperatore (ff. 88r-98v); Id., orazione ad Alberto re, 1438 (ff. 98v-111v); Id., orazione ad Alberto re, 1439 (ff. 112r-122v).","http://www.wikidata.org/entity/Q1722"
"36 III 15","Dominikanski Samostan ","Dubrovnik","Philippus de Diversis de Quartigianis","Il manoscritto cartaceo e miscellaneo, oltre a contenere, la Descriptio Ragusina (1r- 75v); Nicolò da Lazina, poesia di accompagnamento alla Descriptio (ff. 76r-76v); Filippo de Diversi, Oratio in morte Sigismundi Imperatoris, 1438 (ff. 77r-84r); Id., Oratio in laudem Alberti regis, 1438 (ff. 84r-94v); Id., Oratio in morte Alberti regis, 1439 (ff. 95r-103v)","http://www.wikidata.org/entity/Q1722"
"B 22","Universitäts- und Landesbibliothek","Düsseldorf","Beda Venerabilis","Il manoscritto è cartaceo, formato da 204 ff. e misura 295 x 215 mm. Il luogo di copia è il convento di Düsseldorf. Trasmette i seguenti testi:  Beda, Expositio super Epistolas catholicas, ff. 2r-58r; Onorio di Autun, De praecellentia sacerdotii prae regno (cap. 6-8), ff. 29r-60r; Sermo de morte, ff. 60r-62v; Beda, Expositio in Actus apostolorum, ff. 63r-91r; Explanatio Apocalypsis, ff. 91r-124r; Agostino, Enchiridion de fide, spe et caritate, ff. 125r-153v; Onorio di Autun, Cognitio vitae, ff. 155r-169v; Nicholas Magni, Tractatus de superstitionibus, ff. 171r-201r.","http://www.wikidata.org/entity/Q1718"
"B 73","Universitäts- und Landesbibliothek","Düsseldorf","Beda Venerabilis","Il codice cartaceo è formato da 210 ff. e misura 290x205 mm. Trasmette i seguenti testi: Onorio di Autun, Gemma animae, ff. 1r-106v; Beda, Explanatio Apocalypsis, ff. 106v-133v; Expositio in actus apostolorum, ff. 134r-155r; Liber nominum, ex actis apostolorum, ff. 155r-157v; Ugo di San Vittore, De tribus diebus, ff. 158r-171r; papa Leone I, Sermo 83, ff. 174r-175r; Beda, Sermones 31, 6, 7, ff. 175r-185v;  Fulgenzio di Ruspe, Sermo 3, ff. 186r-188r; De trinitate, f. 189r-189v; Pseudo Augustino, Contra Felicianum arianum de unitate Trinitatis liber I, ff. 189v-198r; Paolo Diacono, Sermo 158, ff. 198v-200v; Tommaso d'Aquino, Officium de corpore Christi, ff. 201r-210r. ","http://www.wikidata.org/entity/Q1718"
