"signature","libraryName","placeName","allAuthorNames","allNotes","place"
"Reg. lat. 572","Biblioteca Apostolica Vaticana","Città del Vaticano","Opus sine auctore","Il manoscritto membranaceo è formato da 76 ff. e misura 245x153 mm. Si compone di due diverse parti: la prima, ff. 1-68, del XII secolo, la seconda, ff. 69-76, del XIII secolo. La prima parte trasmette i Gesta Francorum ed in appendice la Descriptio sanctorum locorum Hierusalem. La seconda l'Epistola ad Engelbertum Coloniensem archiepiscopum de obsidione Damiatae di Oliviero Scolastico. Esemplato in Francia, fu posseduto da Paul Petau (1568-1614). ","http://www.wikidata.org/entity/Q237"
"Reg. lat. 630","Biblioteca Apostolica Vaticana","Città del Vaticano","Opus sine auctore","Il manoscritto esemplato in Francia trasmette anche il De situ Terrae Sanctae di Theodosius archidiaconus, l'Epitome geographica, il Liber de auctoribus civitatum e il Sermo de Hierusalem. ","http://www.wikidata.org/entity/Q237"
"Reg. lat. 641","Biblioteca Apostolica Vaticana","Città del Vaticano","Opus sine auctore","Il manoscritto membranaceo fu posseduto dal vescovo Alanus de Coetivy (1448-1474). La Descriptio si trova in appendice ai Gesta Francorum. ","http://www.wikidata.org/entity/Q237"
"Reg. lat. 657","Biblioteca Apostolica Vaticana","Città del Vaticano","Johannes Presbyter","Il manoscritto membranaceo è formato da 138 ff. e misura 167x125 mm. Esemplato probabilmente in Francia, fu posseduto dalla regina Cristina di Svezia. Il codice riporta anche l'Historia Karoli Magni et Rotholandi dello Pseudo-Turpino, l'Epistola Alexandri ad Aristotelem, l'Excidium Troiae, le Res gestae Alexandri Macedonis di Iulius Valerius e l'Epistola del Prete Gianni nella redazione originale. ","http://www.wikidata.org/entity/Q237"
"Reg. lat. 712","Biblioteca Apostolica Vaticana","Città del Vaticano","Rorgus Fretellus de Nazareth","Il manoscritto membranaceo è formato da 98 ff. Proveniente dall'abbazia di Mont-Saint-Quentin, il codice trasmette il Liber di Rorgo Fretellus nell'edizione Henri-Sdyck,  la Descriptio Lateranensis ecclesiae, l'Historia Hierosolymitana di Robertus Monachus, la Lamentatio de morte Karoli comitis Flandrie, il Libellus de dignitate sacerdotali di Ambrogio e il Sermo de informatione episcoporum. ","http://www.wikidata.org/entity/Q237"
"Ross. 669","Biblioteca Apostolica Vaticana","Città del Vaticano","Aeneas Silvius Piccolomini","cart.,
ff. 138,
dimensioni: 287 x 20","http://www.wikidata.org/entity/Q237"
"Urb. lat. 324","Biblioteca Apostolica Vaticana","Città del Vaticano","Iohannes Antonius Campanus","Codice composito. Altri contenuti:
1r-v: Campano Giovanni Antonio, Lettera a Francesco Salviati, arcivescovo di Pisa, sul funerale di Battista Sforza; 1v-17r: Campano Giovanni Antonio, Ioannis Antonii Campani Funebris oratio pro Baptista Sphortia Urbini comitissa ac principe illustrissima; 17r-53r: Campano Giovanni Antonio, Oratio in funere Nelli de Balionibus de Perusio dicti domini Campani; 53v-63v: Campano Giovanni Antonio, Domini Campani Oratio in funere reverendissimi car(dina)l(is) Sanctae Susannae; 63v-82v: Campano Giovanni Antonio, Campani Oratio funebris habita Sene in exequiis Divi Pii [II] Pontificis Maximi; 83r-84r: Ammannati Piccolomini, Iacopo, Lettera del card. Iacopo Ammannati Piccolomini a Giovanni Antonio Campano [1465, settembre]; 87r-108v: Campano Giovanni Antonio, Incipiunt nonnulle orationes reverendissimi domini Campani episcopi Aprutini. De cinere habita Romae tempore Pii secundi; 108v-116r: Campano Giovanni Antonio, Incipit Oratio de circu(m)cisione dicti domini Campani habita Romae tempore Pauli [II]; 116v-129v: Campano Giovanni Antonio, Incipit Oratio sancti Thomae de Aquino Pauli [II] pont(ificis) tempore habita Romae; 129v-141v: Campano Giovanni Antonio, Oratio Spiritus sancti habita Romae tempore Pauli [II] Pont(ificis) Max(imi); 142r-150v: Campano Giovanni Antonio, Campani Oratio habita Romae in festo Sancti Stephani tempore Pauli [II]; 151r-170v: Campano Giovanni Antonio, Campani Oratio ad imperatorem habita Germaniae; 171r-182v: Campano Giovanni Antonio, O[r]atio Campani de dignitate matrimoni ad Franciscum Maximum; 183r-201r: Campano, Giovanni Antonio, De regendo magistratu ad Franciscum Lucium equitem Senensem praetorem Romanum; 216v-217v: Ordo servatus in exequiis factis pro Ill(ustrissi)ma Domina Elisabet Feltria de Gonzaga olim Ducissa Urbini qui fuit die II Ma(r)tii MDXXVI; 217v: Federici Veterani Urbinatis panagiricus [sic], idest laus dicta Magnifico Domino Accursio Marchesino equiti aurato ac Iureconsulto Ducali audi[to]ri et consiliario.","http://www.wikidata.org/entity/Q237"
"Urb. lat. 393","Biblioteca Apostolica Vaticana","Città del Vaticano","Burchardus de Monte Sion","Il manoscritto membranaceo è formato da 43 ff. e misura 286x210 mm, con il testo disposto su due colonne. Il codice trasmette la redazione lunga di Burcardo di Monte Sion. Al f. 16 si legge un'annotazione scritta con mano del XV secolo: In millesimo ducentesimo ottuagesimo tertio in hoc libro invenitur factum fuisse hoc iter ad terram sanctam. ","http://www.wikidata.org/entity/Q237"
"Urb. lat. 406","Biblioteca Apostolica Vaticana","Città del Vaticano","Aeneas Silvius Piccolomini","Codice posseduto da Federico da Montefeltro. Membr.,
ff. II, 251,
dimensioni: 360 x 226..
Contiene anche l'Epistola ad Mahumetum Turcorum principem,  (ff. 67v-)","http://www.wikidata.org/entity/Q237"
"Urb. lat. 452","Biblioteca Apostolica Vaticana","Città del Vaticano","Iohannes Boccaccius *** Guidus Pisanus","Scrittura umanistica. Il manoscritto, omogeneo e trascritto senza alcuna soluzione di continuità, si può tuttavia suddividere in due distinte sezioni, perfettamente coerenti al loro interno dal
punto di vista contenutistico: la prima
parte del codice (ff. 1r-143v) raccoglie testi
di argomento geografico (è in questa prima partizione che sono trascritti il De montibus, il suo modello Vibio e opere più brevi relative alle province d’Italia o notizie su Roma), mentre nella seconda parte sono riuniti estratti o testi completi di contenuto metrico o grammaticale.
CARME SULL’ARNO Rupibus ex dextris presente ai ff. 49r-v. *** Il manoscritto membranaceo è formato da III, 280, I ff. e misura 328x229 mm. Il codice proviene dalla biblioteca del duca di Urbino Federico, di cui al f. 2r è raffigurato lo stemma. ","http://www.wikidata.org/entity/Q237"
"Urb. lat. 961","Biblioteca Apostolica Vaticana","Città del Vaticano","Anonymus Ravennas","Il manoscritto membranaceo è composto da 109 ff., con il testo disposto su due colonne, e misura 255 x 170 mm. Esemplato in Italia, fu posseduto dal duca Francesco Maria II della Rovere (1549-1631). Oltre alla Cosmografia Ravennate, riportata nei primi fogli del manoscritto, il manoscritto trasmette: Epithome historica et fabulosa de Assyris, de Amazonibus, de Scytis, de Francis, de Romanis, ff. 48r-54r; Paulus Diaconus, Historia Romana, ff. 54r-55r e 93v-106v; Eutropius, Breviarium ab urbe condita, lib. I-X cum Pauli [Diaconi] et aliorum additamentis, ff. 55r-93v; Catalogus pontificum romanorum, ff. 107r-108v. ","http://www.wikidata.org/entity/Q237"
"Vat. Lat. 1110","Biblioteca Apostolica Vaticana","Città del Vaticano","Belardus de Esculo","Il manoscritto membranaceo è formato da 144 ff. Alla fine del testo si legge ""Et ego frater Belardus de Esculo hec omnia vidi et scrutatus fui et mihi notavi ut aliis possem veritatem dicere"". Trasmette anche Adam de Wodeham, Lectura Oxoniensis, ff. 1r-141r. ","http://www.wikidata.org/entity/Q237"
"Vat. Lat. 13395","Biblioteca Apostolica Vaticana","Città del Vaticano","Sanctus Brendanus","Il manoscritto membranaceo è formato da 84, I' ff. e misura 211x162 mm. Trasmette inoltre i Dialogorum libri IV di papa Gregorio I. ","http://www.wikidata.org/entity/Q237"
"Vat. Lat. 3153","Biblioteca Apostolica Vaticana","Città del Vaticano","Franciscus Pipinus","Il manoscritto membranaceo consta di 69 ff. e misura 230x165 mm. Fu posseduto da papa Eugenio IV. ","http://www.wikidata.org/entity/Q237"
"Vat. Lat. 3842","Biblioteca Apostolica Vaticana","Città del Vaticano","Agostinus Patricius Piccolomineus",,"http://www.wikidata.org/entity/Q237"
"Vat. Lat. 3851 ","Biblioteca Apostolica Vaticana","Città del Vaticano","Beda Venerabilis","Il manoscritto membranaceo oltre al De locis sanctis di Beda il Venerabile trasmette anche la Relatio tripartita ad Innocentium PP III de viribus Agarenorum di Haymarus Monacus. ","http://www.wikidata.org/entity/Q237"
"Vat. Lat. 636 A","Biblioteca Apostolica Vaticana","Città del Vaticano","Opus sine auctore","Il manoscritto trasmette anche il De situ Hierosolymae e il Versus de die iudicii. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 1058","Biblioteca Apostolica Vaticana","Città del Vaticano","Johannes Presbyter","Il manoscritto trasmette la redazione C dell'Epistola. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 11564","Biblioteca Apostolica Vaticana","Città del Vaticano","Guidus Pisanus","Il manoscritto cartaceo è formato da I, 184, I' cc. e misura 285x175 mm. Esemplato in Italia, il codice è una copia di una compilazione di Guido da Pisa: alla c. 184 r si legge parte di una linea erasa in inchiostro rosso ""Guido collegit"" e alla c. 184v si legge ""Guidonis"" con i versi ""Ipse tibi patrieque sue post cronica bina/eddit Orosium doctrine luce refertum/ Conclusitque simul longo quesito labore"", seguito da un altra mano che scrive ""1459 11 octubris"". In un'altra riga si legge ""Ego...de Ancona scripsi hunc librum MCCCCLVIIII die"" e una nota di possesso di Carlo Reguardati. Il codice appartenne alla biblioteca di Pio X. Il manoscritto trasmette alla fine una nota sul terremoto del 1117 che interessò l'Italia centrosettentrionale. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 1895","Biblioteca Apostolica Vaticana","Città del Vaticano","Iohannes Boccaccius","Scrittura corsiva con influenze umanistiche di unica mano. Il codice risulta sottoscritto a f.
163v dal copista franco-fiammingo Iohannes Jedenville de Rupe: «Completum est hoc opus
per me Johannem Jadenville de Rupe in Ardenna, ducatus Lucembourgensis anno 1456». All'interno del codice che contiene anche  ai ff. 1r-163r: DIOGENE LAERZIO, De vitis philosophorum nella traduzione di Ambrogio Traversari, il De Montibus è mancante dell'epilogo. CARME SULL’ARNO Rupibus ex dextris presente al 198r","http://www.wikidata.org/entity/Q237"
"Vat. lat. 2942","Biblioteca Apostolica Vaticana","Città del Vaticano","Iohannes Boccaccius","Il Codice è redatto in scrittura umanistica e contiene anche il De lingua latina di Varrone.
In questo manoscritto il De montibus è trascritto su due colonne, ed è
 del
tutto riorganizzato: sono abolite le sette
sezioni, non vengono trascritti né i prologhi
né l’epilogo e alle voci enciclopediche è
imposto un ordine alfabetico unico e
generale. Il copista non procede però a
riordinare tutte le voci lemmatizzate, ma si
limita a unire tra loro i toponimi inizianti per
la stessa lettera. Ad oggi è l'unico testimone con questa specificità. Il carme sull'Arno è presente (6ra-va) e anche il componimento
poetico viene inserito all’interno dell’ordine alfabetico generale, e segue pertanto la voce corrispondente ARNUS fluvius.","http://www.wikidata.org/entity/Q237"
"Vat. lat. 3134","Biblioteca Apostolica Vaticana","Città del Vaticano","Franciscus Petrarcha","Il testo petrarchesco si trova all'interno di una corposa miscellanea, ormai nota come ""Pandetta"" di Ramo Ramedelli, nella quale, tra la fine del XIV e i primi decenni del XV secolo, il funzionario gonzaghesco ha raccolto un larghissimo numero di estratti di testi classici e medievali insieme con molte testimonianze del primo umanesimo.Del Petrarca compaiono inoltre, nella prima parte della Pandetta,
excerpta del De vita solitaria (ff. 23va-27rb) e l’Itinerarium completo, forse in una redazione intermedia; vi è poi la Fam. 22, 6 a
Zanobi da Strada,  che forma assieme
all’Itinerarium e a due lettere di Pietro di Blois una piccola raccolta epistolare.","http://www.wikidata.org/entity/Q237"
"Vat. lat. 3759","Biblioteca Apostolica Vaticana","Città del Vaticano","Burchardus de Monte Sion","Il manoscritto riporta la redazione lunga della Descriptio. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 4265","Biblioteca Apostolica Vaticana","Città del Vaticano","Johannes Presbyter","Il manoscritto trasmette prevalentemente testi religiosi e riporta il testo dell'Epistola del Prete Gianni nella redazione D.","http://www.wikidata.org/entity/Q237"
"Vat. lat. 4360","Biblioteca Apostolica Vaticana","Città del Vaticano","Burchardus de Monte Sion","Il manoscritto trasmette la redazione lunga della Descriptio di Burcardo da Monte Sion. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 4920","Biblioteca Apostolica Vaticana","Città del Vaticano","Opus sine auctore",,"http://www.wikidata.org/entity/Q237"
"Vat. lat. 5256","Biblioteca Apostolica Vaticana","Città del Vaticano","Odoricus de Portu Naonis","Il manoscritto membranaceo e cartaceo è formato da 184 ff. e misura 218x115 mm. Il codice trasmette la Relatio di Odorico da Pordenone nella fase C, gruppo h. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 5260","Biblioteca Apostolica Vaticana","Città del Vaticano","Franciscus Pipinus","Il manoscritto cartaceo è composto da II, 96, II, ff. e misura 210x135 mm. Esemplato in Italia alla fine del XV secolo. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 629","Biblioteca Apostolica Vaticana","Città del Vaticano","Beda Venerabilis","Il manoscritto membranaceo trasmette: Isidorus, De ortu et obitu Patrum, ff. 2r-6r; Allegoriae quaedam Scripturae sacrae, cum praefatione, ff. 6r-11r; Beda Venerabilis, Epigramma, f. 11r; Beda Venerabilis, De locis sanctis, ff. 11r-14r; Isidorus, In libros Vet. et Nov. Testamenti proemia, ff. 13r-16v; Iulianus Toletanus, Prognosticon libri I-III, ff. 17v-33v;  Rufinus Tyrannius, Historiae Ecclesiasticae ad Chromatium praefatio, f. 35r; Eusebius Caesariensis, Historia ecclesiastica, ff. 35r-97v; Rufinus Tyrannius, Historia Ecclesiastica, ff. 97v-110r; Isidorus, Chronicon, ff. 110v-113r; Catalogus Regum Tuscus, ff. 113v-114v; Catalogus Imperatorum Orientis ab Heracleone ad Alexium Comnenumm, f. 114r; Isidorus Mercator, Decretalium collectio, ff. 115r-243r; Constitutio Constantini ad Ablavium, excerptum - Constitutiones Sirmondianae, f. 119v; Nomina pontificum Sanctae Romanae ecclesiae [...], ff. 120r-121r; Liber Pontificalis, ff. 126r-268r; Ordo de discretione paenitentiae quem Gregorius Papa constituit, f. 268v; Regula Canonica, ff. 268v-269v;  Concilium Placentinum (1095) Concilium Placentinum anno 1095 temporibus Urbani II celebratum, ff. 269v-270r. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 636","Biblioteca Apostolica Vaticana","Città del Vaticano","Pseudo Eucherius Lugdunensis","Il manoscritto è formato da 127 ff. ed è diviso in due volumi, corrispondenti ai ff. 1-71 e 72-124. Trasmette inoltre testi di Beda il Venerabile, il De locis sanctis di Adamnanus de Iona, l'Itinerarium di Antoninus Placentinus, il Miraculorum liber I di Gregorius, il De septem spectaculis mundi.","http://www.wikidata.org/entity/Q237"
"Vat. lat. 7170","Biblioteca Apostolica Vaticana","Città del Vaticano","Johannes Presbyter","Il manoscritto trasmette solo l'Epistola del Prete Gianni ma in una versione modificata. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 7317","Biblioteca Apostolica Vaticana","Città del Vaticano","Johannes Presbyter *** Franciscus Pipinus","Il manoscritto cartaceo è formato da 444 ff. e trasmette inoltre: Albertus Aquensis, Historia Hierosolymitana, ff. 5r-198v; Ramon Lull, Libellus de fine, ff. 201r-247r; Jacobus de Vitriaco, Historia Orientalis, ff. 213r-247r; Ricoldus de Monte Crucis, Epistulae ad Ecclesiam triumphantes, ff. 249r-267r e Confutatio Alcorani, ff. 267r-300r; Bulla super reductione Armenorum Florentiae, ff. 378r-382v; Poggio Bracciolini, Liber de varietate fortunae IV, ff. 383-396v; Ludolphus de Suchen. Iter Hierosolymitanum ad Balduinum de Steinfurt ep. Padeburnensem, ff. 401r-444r; Franciscus Pipinus, Liber de conditionibus, ff. 301r-273v. Il codice trasmette l'Epistola nella versione di Hildesheim.  *** Il manoscritto cartaceo è formato da 444 ff. e trasmette inoltre: Albertus Aquensis, Historia Hierosolymitana, ff. 5r-198v; Ramon Lull, Libellus de fine, ff. 201r-247r; Jacobus de Vitriaco, Historia Orientalis, ff. 213r-247r; Ricoldus de Monte Crucis, Epistulae ad Ecclesiam triumphantes, ff. 249r-267r e Confutatio Alcorani, ff. 267r-300r; Bulla super reductione Armenorum Florentiae, ff. 378r-382v; Poggio Bracciolini, Liber de varietate fortunae IV, ff. 383-396v; Ludolphus de Suchen. Iter Hierosolymitanum ad Balduinum de Steinfurt ep. Padeburnensem, ff. 401r-444r. ","http://www.wikidata.org/entity/Q237"
"Vat. lat. 7584","Biblioteca Apostolica Vaticana","Città del Vaticano","Antonius Galatheus",,"http://www.wikidata.org/entity/Q237"
"reg. lat. 1477","Biblioteca Apostolica Vaticana","Città del Vaticano","Iohannes Boccaccius","Il codice venne registrato già nel 1426
nell’inventario della biblioteca sforzesca al
n° 382, nel 1459 al n° 722, nel 1488 al n°
417e ancora nel 1490 al n° 644 (negli ultimi
due inventari è tuttavia indicato come
cartaceo). 
CARME SULL’ARNO Rupibus ex dextris assente.","http://www.wikidata.org/entity/Q237"
"vat. lat. 636 (part. 2)","Biblioteca Apostolica Vaticana","Città del Vaticano","Beda Venerabilis","Il codice membranaceo è formato da 127 ff. divisi in due diverse parti, la prima da 1-77 ff e la seconda da ff. 77-127. La seconda parte trasmette i seguenti testi: Beda Venerabilis, De locis sanctis, ff. 72r-78r; Beda Venerabilis, Historia ecclesiastica, ff. 78r-79v; Adamnanus de Iona, De locis sanctis, ff. 80r-99r; Antoninus Placentinus, Itinerarium, ff. 99r-107v; Eucherius, De situ Hierosolimitanae Urbis atque ipsius Iudaeae epistola ad Faustum presbyterum, ff. 107v-109v; Gregorius Turonensis, Miraculorum liber I, ff. 109v-199v; De septem spectaculis mundi, ff. 119v-120v; De septem miraculis, ff. 120v-122r; Beda Venerabilis, Hymnus de die iudicii, ff. 122v-123v; Versus utillimi de contemptu saeculi., ff. 124v-125r. ","http://www.wikidata.org/entity/Q237"
"77 (22)","  Colmar, Bibliothèque des Dominicains (olim Bibliothèque Municipale)","Colmar","Opus sine auctore","Il manoscritto membranaceo è formato da 214 ff. e misura 170x120 mm. Trasmette opere teologiche. ","http://www.wikidata.org/entity/Q130994"
"1110","Archbishop's Diocesan and Cathedral Library","Colonia","Beda Venerabilis","Il codice è composito, membranaceo, databile ai sec. XII-XIII, composto da 107 ff. e misura 200x130 mm. Proviene dal monastero Opraem di Steinfeld. Trasmette alcuni testi di Bernardo di Chiaravalle (Liber de diligendo Deo, ff. 1v-15v, Liber de praecepto et dispensatione, ff. 16r-35v, Liber ad milites Templi de laude novae militiae, ff. 35v-47r, De ordine vitae et morum institutione, ff. 48r-68v), il De locis Sanctis di Beda, ff. 68v-79v) e l'Historia de excidio Troiae, di Dares Phrygius, ff. 89v-106v. 
","http://www.wikidata.org/entity/Q365"
"W 201","Archivio storico della Città di Colonia","Colonia","Johannes Presbyter","Il manoscritto riporta la redazione C dell'Epistola, che si caratterizza per l'aggiunta delle notizie sui popoli cannibali di Gog e Magog. ","http://www.wikidata.org/entity/Q365"
"ms.1.4.38","Biblioteca comunale Paolo Borsellino","Como","Iohannes Boccaccius","CARME SULL’ARNO Rupibus ex dextris assente. I fogli presentano mani diverse e precisamente: ff. 5r-21v: umanistica libraria; ff. 22r-131v: umanistica
libraria con tratti corsivi. presenza nei margini delle note guariniane,
nonché di notabilia relativi alle fonti del De montibus e correzioni al testo.","http://www.wikidata.org/entity/Q1308"
"Acc. 2011/5","Biblioteca reale","Copenaghen","Franciscus Pipinus","Il manoscritto membranaceo è formato da 438 ff. e misura 270x190 mm. 
Trasmette anche Dares Phrygius, De excidio Troiae; Geoffrey of Monmouth, Historia regum Britanniae; Gildas, De excidio et conquestu Britanniae; Gesta Cnutonis regis; Odorico da Pordenone, Relatio; Tractatus de ortu Tartarorum; Pierre Tudebode, Tractatus de ortu, progressu et actibus Machometi; Willelmus Tirensis, Tractatus de statu Saracenorum et Machometo; De Machometo. ","http://www.wikidata.org/entity/Q1748"
"Acc. 2011/5","Copenaghen, Kongelige Bibliotek","Copenaghen","Odoricus de Portu Naonis","Il manoscritto membranaceo è formato da 438 ff. e misura 270x190 mm. Trasmette anche Dares Phrygius, De excidio Troiae; Geoffrey of Monmouth, Historia regum Britanniae; Gildas, De excidio et conquestu Britanniae; Gesta Cnutonis regis; il Liber Marci Pauli de Veneciis di Francesco Pipino; Tractatus de ortu Tartarorum; Pierre Tudebode, Tractatus de ortu, progressu et actibus Machometi; Willelmus Tirensis, Tractatus de statu Saracenorum et Machometo; De Machomet. Il codice trasmette la Relatio di Odorico da Pordenone appartenente alla fase A, gruppo n. ","http://www.wikidata.org/entity/Q1748"
"NKS 2916 4°","Copenaghen, Kongelige Bibliotek","Copenaghen","Sanctus Brendanus","Il manoscritto membranaceo è formato da 50 ff. e misura 200x145 mm. Esemplato in Italia, trasmette inoltre: Petrus Blesensis, De amicitia christiana et de dilectione Dei ac proximi, ff. 1r-11v, De anima, ff. 12r-26v. ","http://www.wikidata.org/entity/Q1748"
"Thott 580 4°","Copenaghen, Kongelige Bibliotek","Copenaghen","Burchardus de Monte Sion","Il manoscritto cartaceo è variamente datato al 1441, 1440, 1456 e 1464. Composto da 405, il codice misura 212x138 mm e fu posseduto da Arnoldus Gherbrandi dioc. Ripensis presbyter. Trasmette la Descriptio Terrae Sanctae nella versione lunga, ma ne riporta solo alcuni estratti. ","http://www.wikidata.org/entity/Q1748"
"Gl. Kgl. S. 2092","Kongelige Garnisonsbibliotek","Copenaghen","Iohannes Boccaccius","Manoscritto composito. I ff. 1r-60v contengono il De mulieribus claris. Scrittura semigotica di due mani diverse: mano A per il De mulieribus claris,
mano B per il De montibus. Le voci
lemmìatizzate all’interno del De montibus non vengono trascritte in colonna ma una di seguito
all’altra; la loro successione è segnalata dalle iniziali toponomastiche in inchiostro blu e rosso;
è lasciato uno spazio bianco tra una voce e l’altra al cambio di iniziale. Il copista sottoscrive il
De montibus a f. 120r: «MCCCCI Februarii X Ticini perfeci hora XXIII. Deo laudes sanctisque omnibus». Presenza sulle pergmene di tutto il codice di note marginali di Anton Maria Salvini
(1653-1729). L’elegante manoscritto doveva
essere stato realizzato per una raffinata
committenza, ad oggi tuttavia non
riconoscibile. Dalle note di possesso poste
a f.1r il codice risulta in possesso di
Lucantonio Ridolfi.
Tramite la mediazione di Anton Maria
Salvini, venne acquistato nel 1699 a Firenze da Frederik Rostgaard (1671-
1745), passando quindi in proprietà del
conte Christian Danneskjold-Samsøe
(1702-1728) che ne fa eseguire il restauro,
per giungere infine alle collezioni reali
danesi.","http://www.wikidata.org/entity/Q1748"
"1607","Biblioteca Jagellonica","Cracovia","Johannes Presbyter","Il manoscritto riporta la redazione D dell'Epistola del Prete Gianni, contenente diversi dettagli in più rispetto all'originale. ","http://www.wikidata.org/entity/Q31487"
"431","Biblioteca Jagellonica","Cracovia","Johannes Presbyter *** Franciscus Pipinus","Il manoscritto cartaceo consta di 244 + 1 ff., con il testo disposto su due colonne, e misura 290x205 mm. Vergato in Polonia, in scrittura minuscola corsiva gotica, non presenta marginalia. Al f. 210r presenta questa annotazione: ""Explicit liber per manus cuiusdam pauperis pro quo Deus sit gloriosus trinus in personis et unus in essencia per infinita secula seculorum. Amen. Et est finitus feria sexta in die sanctorum Fabiani et Sebastiani sub anno Domini millessimo CCC quadragesimo primo"", e questo ha permesso di datare il manoscritto al 20 Gennario 1441. Trasmette: Iacobus de Vitriaco, Historia Hierosolymitana abbreviata, ff. 2r-60r; Franciscus Pipinus, Liber Marci Pauli de Veneciis, ff. 66v-119r; Vita Adae et Evae, ff. 119v-121v; Henricus de Frimaria senior, De decem praeceptis, ff. 138v-178r. Il codice riporta la redazione B dell'Epistola del Prete Gianni, che aggiunge notizie sul secondo palazzo regio.  *** Il manoscritto cartaceo consta di 244 + 1 ff., con il testo disposto su due colonne, e misura 290x205 mm. Vergato in Polonia, in scrittura minuscola corsiva gotica, non presenta marginalia. Al f. 210r presenta questa annotazione: ""Explicit liber per manus cuiusdam pauperis pro quo Deus sit gloriosus trinus in personis et unus in essencia per infinita secula seculorum. Amen. Et est finitus feria sexta in die sanctorum Fabiani et Sebastiani sub anno Domini millessimo CCC quadragesimo primo"", e questo ha permesso di datare il manoscritto al 20 Gennario 1441. 
Trasmette: Iacobus de Vitriaco, Historia Hierosolymitana abbreviata, ff. 2r-60r; Epistola Iohannis presbyteri, regis Indiae, ff. 116r-119r; Vita Adae et Evae, ff. 119v-121v;  Henricus de Frimaria senior, De decem praeceptis, ff. 138v-178r. ","http://www.wikidata.org/entity/Q31487"
"1575","Biblioteka Muzeum Narodowego w Krakowie","Cracovia","Johannes Presbyter","Il manoscritto riporta la redazione C dell'Epistola del Prete Gianni. ","http://www.wikidata.org/entity/Q31487"
"Fondo Civico BB.1.2.5 (55)","Biblioteca statale di Cremona","Cremona","Franciscus Petrarcha","Copia diretta, realizzata a Cremona, dell'autografo petrarchesco datato 4 aprile 1358 che fu consegnata al cremonese Giovanni Mandelli (nota di possesso nella controguardia “Hieronymi Mandelli et amicorum”), il che ne certifica l’elevato valore ai fini del recupero della corretta lezione testuale. Tramandato evidentemente agli eredi del Mandelli come sembra
suggerire la nota di possesso, è pervenuto alla Libreria Civica attraverso alterne vicende, allo stato attuale difficili da ricostruire.
Il codice mostra un’elegante littera
textualis rotunda e una struttura codicologica priva di particolari caratteri:  i fascicoli in pergamena iniziano col lato carne, sono quaternioni,
presentano i reclamantes e sono rigati a colore.
 Dimensioni: 180 x 135 = 40[120]20 x 20[85]30, rr. 24 / ll. 23 (f. 1v)","http://www.wikidata.org/entity/Q6231"
"ms.Civ.4","Biblioteca statale di Cremona","Cremona","Iohannes Boccaccius","Membr.; ff. I (cart.), 76, I’ (cart.); fasc. 1-710, 86
; richiami orizzontali al centro del margine
inferiore; 308 × 219; testo a piena pagina; rigatura a piombo. 
 a f. 76r si legge
invece la nota esplicitaria: «Explicit liber de montibus, silvis, fontibus, lacubus,
I manoscritti 33
fluminibus, stagnis seu paludibus et ultimo de nominibus maris Iohanni Bocatii de
Certaldo poete clarissimi florentini honorabilis civis»","http://www.wikidata.org/entity/Q6231"
"1405","Hessisches Staatsarchiv Darmstadt","Darmstadt","Johannes Presbyter","Il manoscritto membranaceo è formato da 134 ff. e misura 320x235 mm. Esemplato a Colonia, trasmette principalmente testi religiosi. Il codice riporta la redazione abbreviata dell'Epistola. ","http://www.wikidata.org/entity/Q2973"
"231","Hessisches Staatsarchiv Darmstadt","Darmstadt","Johannes Presbyter","Il manoscritto membranaceo e cartaceo è formato da 140 ff. e misura 295x215 mm. Il codice è uno dei 100 manoscritti acquisiti dal langravio Ludovico X nel 1803; contiene note del possessore Theodericus de Niem (1340 ca.-1418). Trasmette opere dedicate alla Terra Santa e riporta il testo dell'Epistola nella redazione C, che riporta la descrizione dei popoli cannibali di Gog e Magog. ","http://www.wikidata.org/entity/Q2973"
"836","Douai, Bibliothèque Marceline Desbordes-Valmore (olim Bibliothèque Municipale)","Douai","Sanctus Brendanus","Il manoscritto membranaceo è formato da I, 230, I' ff. e misura 450x300 mm, con il testo disposto su due colonne. Trasmette inoltre Vite e Passioni di Santi. ","http://www.wikidata.org/entity/Q193826"
"864","Douai, Bibliothèque Marceline Desbordes-Valmore (olim Bibliothèque Municipale)","Douai","Sanctus Brendanus","Il manoscritto membranaceo è formato da 217 ff. e misura 280x200 mm. Trasmette Vite dei Santi. ","http://www.wikidata.org/entity/Q193826"
